iter	Passed	Remaining
0	31	31609
1	62	31205
2	96	32101
3	131	32684
4	166	33157
5	200	33273
6	235	33430
7	268	33341
8	303	33461
9	339	33578
10	374	33704
11	411	33906
12	447	33983
13	483	34050
14	518	34042
15	555	34150
16	591	34204
17	628	34276
18	662	34180
19	696	34123
20	716	33394
21	751	33396
22	787	33454
23	819	33315
24	852	33265
25	878	32900
26	912	32878
27	948	32916
28	968	32421
29	1003	32445
30	1038	32474
31	1053	31865
32	1088	31886
33	1121	31871
34	1155	31856
35	1169	31318
36	1203	31326
37	1238	31355
38	1265	31175
39	1280	30722
40	1313	30722
41	1347	30725
42	1375	30609
43	1408	30611
44	1443	30637
45	1478	30665
46	1513	30690
47	1556	30876
48	1592	30903
49	1627	30923
50	1642	30559
51	1656	30207
52	1691	30215
53	1700	29784
54	1734	29798
55	1768	29818
56	1804	29854
57	1814	29471
58	1852	29543
59	1889	29603
60	1898	29225
61	1926	29141
62	1958	29135
63	1986	29056
64	2018	29039
65	2053	29058
66	2088	29077
67	2097	28749
68	2130	28748
69	2164	28757
70	2194	28712
71	2204	28407
72	2241	28459
73	2275	28474
74	2313	28535
75	2350	28572
76	2385	28589
77	2418	28582
78	2450	28567
79	2484	28572
80	2518	28572
81	2549	28545
82	2582	28526
83	2616	28528
84	2649	28520
85	2658	28257
86	2691	28247
87	2726	28252
88	2760	28254
89	2794	28257
90	2805	28022
91	2840	28038
92	2879	28078
93	2914	28088
94	2949	28100
95	2984	28106
96	3019	28113
97	3053	28107
98	3087	28095
99	3120	28082
100	3154	28080
101	3164	27861
102	3198	27856
103	3232	27850
104	3267	27848
105	3276	27632
106	3313	27653
107	3346	27643
108	3380	27633
109	3414	27625
110	3449	27628
111	3483	27621
112	3492	27416
113	3525	27398
114	3534	27198
115	3567	27183
116	3602	27191
117	3622	27076
118	3654	27057
119	3689	27053
120	3724	27053
121	3758	27048
122	3791	27030
123	3827	27039
124	3860	27025
125	3884	26948
126	3918	26932
127	3951	26920
128	3984	26906
129	4017	26888
130	4050	26870
131	4084	26856
132	4117	26838
133	4150	26821
134	4185	26818
135	4223	26832
136	4260	26840
137	4295	26829
138	4330	26824
139	4365	26814
140	4398	26798
141	4430	26769
142	4463	26748
143	4496	26728
144	4529	26707
145	4576	26770
146	4627	26849
147	4660	26831
148	4694	26813
149	4726	26785
150	4751	26716
151	4785	26695
152	4817	26671
153	4851	26653
154	4885	26631
155	4918	26610
156	4954	26604
157	4988	26584
158	5030	26606
159	5075	26644
160	5111	26635
161	5148	26633
162	5184	26622
163	5230	26663
164	5277	26705
165	5292	26588
166	5327	26575
167	5366	26577
168	5401	26562
169	5438	26550
170	5475	26545
171	5514	26544
172	5550	26532
173	5586	26521
174	5622	26506
175	5657	26488
176	5693	26472
177	5728	26453
178	5762	26431
179	5797	26410
180	5831	26387
181	5846	26279
182	5881	26257
183	5921	26260
184	5961	26262
185	6007	26290
186	6022	26184
187	6059	26172
188	6097	26164
189	6134	26150
190	6170	26134
191	6206	26117
192	6246	26119
193	6267	26039
194	6303	26020
195	6339	26006
196	6376	25990
197	6391	25889
198	6428	25874
199	6461	25846
200	6496	25824
201	6531	25800
202	6560	25757
203	6594	25731
204	6604	25611
205	6632	25566
206	6667	25540
207	6701	25517
208	6744	25526
209	6780	25507
210	6815	25483
211	6850	25462
212	6886	25444
213	6922	25424
214	6956	25398
215	6991	25375
216	7011	25298
217	7047	25280
218	7087	25274
219	7143	25327
220	7186	25331
221	7224	25316
222	7256	25282
223	7293	25266
224	7331	25254
225	7370	25241
226	7405	25217
227	7440	25194
228	7477	25176
229	7514	25158
230	7547	25126
231	7585	25108
232	7622	25090
233	7658	25070
234	7694	25049
235	7732	25032
236	7771	25018
237	7807	24997
238	7843	24975
239	7881	24959
240	7920	24944
241	7958	24928
242	7975	24844
243	8011	24823
244	8052	24815
245	8089	24793
246	8113	24735
247	8150	24713
248	8184	24683
249	8218	24654
250	8254	24631
251	8299	24633
252	8367	24705
253	8417	24721
254	8459	24716
255	8496	24693
256	8532	24668
257	8571	24651
258	8608	24630
259	8640	24593
260	8677	24569
261	8716	24551
262	8752	24526
263	8786	24495
264	8819	24462
265	8839	24391
266	8854	24308
267	8890	24282
268	8929	24265
269	8968	24247
270	9001	24213
271	9034	24179
272	9067	24146
273	9102	24118
274	9134	24082
275	9168	24050
276	9214	24050
277	9254	24034
278	9311	24062
279	9352	24048
280	9398	24048
281	9445	24049
282	9489	24041
283	9518	23997
284	9552	23964
285	9587	23934
286	9624	23909
287	9647	23851
288	9682	23820
289	9717	23791
290	9753	23764
291	9791	23741
292	9826	23710
293	9866	23692
